omb_cat,name,year,corp,indv,total,gdp,gdp_price_index,corp_adj,indv_adj,total_adj,percent_corp,percent_gdp,percent_indv,percent_omb_cat,percent_total,percent_change,orig_name
Energy,Alcohol Fuel Credits,1997,5000000.0,5000000.0,10000000.0,8483200000000.001,0.71001276673354,7042127,7042127,14084254,0.01,0.00,0.00,0.44,0.00,-1.73, 
Energy,Alternative Fuel Production Credit,1997,565000000.0,35000000.0,600000000.0,8483200000000.001,0.71001276673354,795760339,49294888,845055227,0.97,0.01,0.01,26.61,0.13,3.44, 
Commerce And Housing,Amortization Of Start-Up Costs,1997,95000000.0,105000000.0,200000000.0,8483200000000.001,0.71001276673354,133800411,147884665,281685076,0.16,0.00,0.03,0.09,0.04,0.79, 
Commerce And Housing,Cancellation Of Indebtedness,1997,,40000000.0,40000000.0,8483200000000.001,0.71001276673354,,56337015,56337015,,0.00,0.01,0.02,0.01,-43.85, 
Commerce And Housing,"Capital Gains (Except Agriculture, Timber, Iron Ore, And Coal)",1997,,8230000000.0,8230000000.0,8483200000000.001,0.71001276673354,,11591340868,11591340868,,0.10,1.98,3.77,1.73,1.22, 
Commerce And Housing,Capital Gains Exclusion Of Small Corporation Stock,1997,,,,8483200000000.001,0.71001276673354,,,,,,,,,, 
Agriculture,Capital Gains Treatment Of Certain Income,1997,,170000000.0,170000000.0,8483200000000.001,0.71001276673354,,239432314,239432314,,0.00,0.04,52.31,0.04,1.24, 
Natural Resources And Environment,Capital Gains Treatment Of Certain Timber Income,1997,,15000000.0,15000000.0,8483200000000.001,0.71001276673354,,21126381,21126381,,0.00,0.00,0.90,0.00,-1.73, 
Natural Resources And Environment,Capital Gains Treatment Of Iron Ore,1997,,,,8483200000000.001,0.71001276673354,,,,,,,,,, 
Energy,Capital Gains Treatment Of Royalties On Coal,1997,,15000000.0,15000000.0,8483200000000.001,0.71001276673354,,21126381,21126381,,0.00,0.00,0.67,0.00,-1.73, 
Commerce And Housing,Carryover Basis Of Capital Gains On Gifts,1997,,150000000.0,150000000.0,8483200000000.001,0.71001276673354,,211263807,211263807,,0.00,0.04,0.07,0.03,5.29, 
"Education, Training, Employment, And Social Services",Credit For Child And Dependent Care Expenses,1997,,2705000000.0,2705000000.0,8483200000000.001,0.71001276673354,,3809790650,3809790650,,0.03,0.65,10.01,0.57,3.03, 
"Education, Training, Employment, And Social Services",Credit For Disabled Access Expenditures,1997,50000000.0,35000000.0,85000000.0,8483200000000.001,0.71001276673354,70421269,49294888,119716157,0.09,0.00,0.01,0.31,0.02,4.41, 
"General Science, Space, And Technology",Credit For Increasing Research Activities,1997,670000000.0,15000000.0,685000000.0,8483200000000.001,0.71001276673354,943645004,21126381,964771385,1.15,0.01,0.00,77.84,0.14,-16.38, 
Commerce And Housing,Credit For Low-Income Housing Investments,1997,570000000.0,2270000000.0,2840000000.0,8483200000000.001,0.71001276673354,802802466,3197125610,3999928076,0.98,0.03,0.55,1.30,0.60,7.34, 
Income Security,Deductibility Of Casualty Losses,1997,,485000000.0,485000000.0,8483200000000.001,0.71001276673354,,683086309,683086309,,0.01,0.12,0.57,0.10,3.61, 
"Education, Training, Employment, And Social Services",Deductibility Of Charitable Contributions (Education),1997,190000000.0,1770000000.0,1960000000.0,8483200000000.001,0.71001276673354,267600822,2492912921,2760513743,0.33,0.02,0.43,7.25,0.41,3.27, 
Health,Deductibility Of Charitable Contributions (Health),1997,675000000.0,1805000000.0,2480000000.0,8483200000000.001,0.71001276673354,950687131,2542207809,3492894940,1.16,0.03,0.43,3.13,0.52,3.26, 
"Education, Training, Employment, And Social Services","Deductibility Of Charitable Contributions, Other Than Education And Health",1997,700000000.0,16145000000.0,16845000000.0,8483200000000.001,0.71001276673354,985897765,22739027742,23724925507,1.20,0.20,3.88,62.34,3.55,3.17, 
Health,Deductibility Of Medical Expenses,1997,,4060000000.0,4060000000.0,8483200000000.001,0.71001276673354,,5718207038,5718207038,,0.05,0.97,5.12,0.86,8.56, 
Commerce And Housing,Deductibility Of Mortgage Interest On Owner-Occupied Homes,1997,,49820000000.0,49820000000.0,8483200000000.001,0.71001276673354,,70167752376,70167752376,,0.59,11.96,22.79,10.49,3.01, 
Commerce And Housing,Deductibility Of Nonbusiness State And Local Taxes Other Than On Owner-Occupied Homes,1997,,29630000000.0,29630000000.0,8483200000000.001,0.71001276673354,,41731643976,41731643976,,0.35,7.11,13.56,6.24,3.01, 
Commerce And Housing,Deductibility Of State And Local Property Tax On Owner-Occupied Homes,1997,,16670000000.0,16670000000.0,8483200000000.001,0.71001276673354,,23478451066,23478451066,,0.20,4.00,7.63,3.51,3.02, 
Commerce And Housing,Deferral Of Capital Gains On Home Sales,1997,,14845000000.0,14845000000.0,8483200000000.001,0.71001276673354,,20908074750,20908074750,,0.17,3.56,6.79,3.13,1.23, 
International Affairs,Deferral Of Income From Controlled Foreign Corporations,1997,2200000000.0,,2200000000.0,8483200000000.001,0.71001276673354,3098535834,,3098535834,3.77,0.03,,31.52,0.46,2.95, 
Commerce And Housing,Deferral Of Income From Installment Sales,1997,250000000.0,725000000.0,975000000.0,8483200000000.001,0.71001276673354,352106345,1021108400,1373214744,0.43,0.01,0.17,0.45,0.21,0.32,Deferral Of Income From Post-1987 Installment Sales
Interest,Deferral Of Interest On Us Savings Bonds,1997,,1290000000.0,1290000000.0,8483200000000.001,0.71001276673354,,1816868739,1816868739,,0.02,0.31,100.00,0.27,-2.49,Deferral Of Interest On Savings Bonds
Transportation,Deferral Of Tax On Shipping Companies,1997,20000000.0,,20000000.0,8483200000000.001,0.71001276673354,28168508,,28168508,0.03,0.00,,1.47,0.00,-1.73, 
Income Security,Earned Income Tax Credit,1997,,5653000000.0,5653000000.0,8483200000000.001,0.71001276673354,,7961828667,7961828667,,0.07,1.36,6.67,1.19,8.99,Earned Income Credit
"Education, Training, Employment, And Social Services",Employer Provided Child Care Exclusion,1997,,830000000.0,830000000.0,8483200000000.001,0.71001276673354,,1168993064,1168993064,,0.01,0.20,3.07,0.17,5.24,Exclusion Of Employer Provided Child Care
Community And Regional Development,"Empowerment Zones, The Dc Enterprise Zone, And Renewal Communities",1997,550000000.0,35000000.0,585000000.0,8483200000000.001,0.71001276673354,774633958,49294888,823928847,0.94,0.01,0.01,21.67,0.12,8.46,Empowerment Zones
Energy,Enhanced Oil Recovery Credit,1997,80000000.0,5000000.0,85000000.0,8483200000000.001,0.71001276673354,112674030,7042127,119716157,0.14,0.00,0.00,3.77,0.02,4.41, 
Energy,Exception From Passive Loss Limitation For Working Interests In Oil And Gas Properties,1997,,50000000.0,50000000.0,8483200000000.001,0.71001276673354,,70421269,70421269,,0.00,0.01,2.22,0.01,-1.73, 
Commerce And Housing,"Exception From Passive Loss Rules For $25,000 Of Rental Loss",1997,,3700000000.0,3700000000.0,8483200000000.001,0.71001276673354,,5211173902,5211173902,,0.04,0.89,1.69,0.78,-7.95, 
Commerce And Housing,Exceptions From Imputed Interest Rules,1997,,155000000.0,155000000.0,8483200000000.001,0.71001276673354,,218305934,218305934,,0.00,0.04,0.07,0.03,1.54,Permanent Exceptions From Imputed Interest Rules
Commerce And Housing,Excess Bad Debt Reserves Of Financial Institutions,1997,70000000.0,,70000000.0,8483200000000.001,0.71001276673354,98589777,,98589777,0.12,0.00,,0.03,0.01,-23.57, 
Energy,"Excess Of Percentage Over Cost Depletion, Fuels",1997,860000000.0,285000000.0,1145000000.0,8483200000000.001,0.71001276673354,1211245826,401401233,1612647059,1.48,0.01,0.07,50.78,0.24,0.01, 
Natural Resources And Environment,"Excess Of Percentage Over Cost Depletion, Nonfuel Minerals",1997,220000000.0,75000000.0,295000000.0,8483200000000.001,0.71001276673354,309853583,105631903,415485487,0.38,0.00,0.02,17.66,0.06,1.71, 
Transportation,Exclusion For Employer-Provided Transit Passes,1997,,60000000.0,60000000.0,8483200000000.001,0.71001276673354,,84505523,84505523,,0.00,0.01,4.40,0.01,17.92, 
National Defense,Exclusion Of Benefits And Allowances To Armed Forces Personnel,1997,,2080000000.0,2080000000.0,8483200000000.001,0.71001276673354,,2929524788,2929524788,,0.02,0.50,100.00,0.44,-0.78, 
Commerce And Housing,Exclusion Of Capital Gains On Home Sales For Persons Age 55 And Over,1997,,5230000000.0,5230000000.0,8483200000000.001,0.71001276673354,,7366064732,7366064732,,0.06,1.26,2.39,1.10,-1.64, 
"Education, Training, Employment, And Social Services",Exclusion Of Certain Foster Care Payments,1997,,35000000.0,35000000.0,8483200000000.001,0.71001276673354,,49294888,49294888,,0.00,0.01,0.13,0.01,14.64, 
Energy,Exclusion Of Conservation Subsidies Provided By Public Utilities,1997,10000000.0,55000000.0,65000000.0,8483200000000.001,0.71001276673354,14084254,77463396,91547650,0.02,0.00,0.01,2.88,0.01,-57.42,Exclusion From Income Of Conservation Subsidies Provided By Public Utilities
"Education, Training, Employment, And Social Services",Exclusion Of Employee Meals And Lodging (Other Than Military),1997,,600000000.0,600000000.0,8483200000000.001,0.71001276673354,,845055227,845055227,,0.01,0.14,2.22,0.13,3.44, 
Health,Exclusion Of Employer Contributions For Medical Insurance Premiums And Medical Care,1997,,70460000000.0,70460000000.0,8483200000000.001,0.71001276673354,,99237652196,99237652196,,0.83,16.92,88.91,14.84,7.43, 
Income Security,Exclusion Of Employer Provided Death Benefits,1997,,35000000.0,35000000.0,8483200000000.001,0.71001276673354,,49294888,49294888,,0.00,0.01,0.04,0.01,-1.73, 
"Education, Training, Employment, And Social Services",Exclusion Of Employer-Provided Educational Assistance,1997,,575000000.0,575000000.0,8483200000000.001,0.71001276673354,,809844593,809844593,,0.01,0.14,2.13,0.12,2725.15, 
Veterans Benefits And Services,Exclusion Of Gi Bill Benefits,1997,,60000000.0,60000000.0,8483200000000.001,0.71001276673354,,84505523,84505523,,0.00,0.01,2.04,0.01,17.92, 
International Affairs,Exclusion Of Income Earned Abroad By Us Citizens,1997,,1680000000.0,1680000000.0,8483200000000.001,0.71001276673354,,2366154637,2366154637,,0.02,0.40,24.07,0.35,8.61, 
International Affairs,Exclusion Of Income Of Foreign Sales Corporations,1997,1600000000.0,,1600000000.0,8483200000000.001,0.71001276673354,2253480606,,2253480606,2.74,0.02,,22.92,0.34,4.82, 
Community And Regional Development,"Exclusion Of Interest For Airport, Dock, And Similar Bonds",1997,790000000.0,1185000000.0,1975000000.0,8483200000000.001,0.71001276673354,1112656049,1668984074,2781640123,1.36,0.02,0.28,73.15,0.42,-1.98,"Exclusion Of Interest On Idbs For Airports, Docks And Sports And Convention Facilities"
"Education, Training, Employment, And Social Services",Exclusion Of Interest On Bonds For Private Nonprofit Educational Facilities,1997,370000000.0,560000000.0,930000000.0,8483200000000.001,0.71001276673354,521117390,788718212,1309835602,0.63,0.01,0.13,3.44,0.20,-4.31,Exclusion Of Interest On State And Local Debt For Private Nonprofit Educational Facilities
Energy,Exclusion Of Interest On Energy Facility Bonds,1997,125000000.0,190000000.0,315000000.0,8483200000000.001,0.71001276673354,176053172,267600822,443653994,0.21,0.00,0.05,13.97,0.07,-1.73,Exclusion Of Interest On State And Local Industrial Development Bonds For Certain Energy Facilities
Health,Exclusion Of Interest On Hospital Construction Bonds,1997,825000000.0,1255000000.0,2080000000.0,8483200000000.001,0.71001276673354,1161950938,1767573851,2929524788,1.42,0.02,0.30,2.62,0.44,-4.27,Exclusion Of Interest On State And Local Debt For Private Nonprofit Health Facilities
Commerce And Housing,Exclusion Of Interest On Life Insurance Savings,1997,345000000.0,10865000000.0,11210000000.0,8483200000000.001,0.71001276673354,485906756,15302541742,15788448497,0.59,0.13,2.61,5.13,2.36,4.66, 
Commerce And Housing,Exclusion Of Interest On Owner-Occupied Mortgage Subsidy Bonds,1997,700000000.0,1055000000.0,1755000000.0,8483200000000.001,0.71001276673354,985897765,1485888775,2471786540,1.20,0.02,0.25,0.80,0.37,-2.29, 
General Purpose Fiscal Assistance,Exclusion Of Interest On Public Purpose State And Local Bonds,1997,6310000000.0,9490000000.0,15800000000.0,8483200000000.001,0.71001276673354,8887164141,13365956846,22253120986,10.82,0.19,2.28,85.41,3.33,-1.23,Exclusion Of Interest On Public Purpose State And Local Debt
"Education, Training, Employment, And Social Services",Exclusion Of Interest On Savings Bonds Redeemed To Finance Educational Expenses,1997,,10000000.0,10000000.0,8483200000000.001,0.71001276673354,,14084254,14084254,,0.00,0.00,0.04,0.00,96.53,Exclusion Of Interest On Savings Bonds Transferred To Educational Institutions
Commerce And Housing,Exclusion Of Interest On Small Issue Bonds,1997,105000000.0,160000000.0,265000000.0,8483200000000.001,0.71001276673354,147884665,225348061,373232725,0.18,0.00,0.04,0.12,0.06,-5.31,Exclusion Of Interest On Small Issue Industrial Development Bonds
Commerce And Housing,Exclusion Of Interest On State And Local Debt For Rental Housing,1997,305000000.0,455000000.0,760000000.0,8483200000000.001,0.71001276673354,429569741,640833547,1070403288,0.52,0.01,0.11,0.35,0.16,-1.08, 
Natural Resources And Environment,Exclusion Of Interest On State And Local Idbs For Pollution Control And Sewage And Waste Disposal Facilities,1997,275000000.0,415000000.0,690000000.0,8483200000000.001,0.71001276673354,387316979,584496532,971813511,0.47,0.01,0.10,41.32,0.15,-3.14, 
"Education, Training, Employment, And Social Services",Exclusion Of Interest On Student Loan Bonds,1997,115000000.0,175000000.0,290000000.0,8483200000000.001,0.71001276673354,161968919,246474441,408443360,0.20,0.00,0.04,1.07,0.06,-6.57,Exclusion Of Interest On State And Local Student Loan Bonds
Veterans Benefits And Services,Exclusion Of Interest On Veterans Housing Bonds,1997,15000000.0,25000000.0,40000000.0,8483200000000.001,0.71001276673354,21126381,35210634,56337015,0.03,0.00,0.01,1.36,0.01,-1.73,Exclusion Of Interest On State And Local Debt For Veterans Housing
Income Security,Exclusion Of Military Disability Pensions,1997,,130000000.0,130000000.0,8483200000000.001,0.71001276673354,,183095299,183095299,,0.00,0.03,0.15,0.03,-1.73, 
Income Security,Exclusion Of Other Employee Benefits: Premiums On Accident And Disability Insurance,1997,,165000000.0,165000000.0,8483200000000.001,0.71001276673354,,232390188,232390188,,0.00,0.04,0.19,0.03,4.61, 
Income Security,Exclusion Of Other Employee Benefits: Premiums On Group Term Life Insurance,1997,,2615000000.0,2615000000.0,8483200000000.001,0.71001276673354,,3683032366,3683032366,,0.03,0.63,3.08,0.55,2.99, 
"Education, Training, Employment, And Social Services",Exclusion Of Parsonage Allowances,1997,,315000000.0,315000000.0,8483200000000.001,0.71001276673354,,443653994,443653994,,0.00,0.08,1.17,0.07,4.93, 
Income Security,Exclusion Of Public Assistance Benefits,1997,,515000000.0,515000000.0,8483200000000.001,0.71001276673354,,725339070,725339070,,0.01,0.12,0.61,0.11,1.21, 
Income Security,Exclusion Of Railroad Retirement System Benefits,1997,,440000000.0,440000000.0,8483200000000.001,0.71001276673354,,619707167,619707167,,0.01,0.11,0.52,0.09,-1.73, 
Transportation,Exclusion Of Reimbursed Employee Parking Expenses,1997,,1285000000.0,1285000000.0,8483200000000.001,0.71001276673354,,1809826612,1809826612,,0.02,0.31,94.14,0.27,1.02, 
"Education, Training, Employment, And Social Services",Exclusion Of Scholarship And Fellowship Income,1997,,845000000.0,845000000.0,8483200000000.001,0.71001276673354,,1190119445,1190119445,,0.01,0.20,3.13,0.18,-0.56, 
Social Security,Exclusion Of Social Security Benefits: Social Security Benefits For Disabled Workers,1997,,2375000000.0,2375000000.0,8483200000000.001,0.71001276673354,,3345010275,3345010275,,0.03,0.57,9.83,0.50,11.67,Exclusion Of Social Security Benefits: Disability Insurance Benefits
Social Security,Exclusion Of Social Security Benefits: Social Security Benefits For Retired Workers,1997,,17810000000.0,17810000000.0,8483200000000.001,0.71001276673354,,25084055998,25084055998,,0.21,4.28,73.69,3.75,2.92,Exclusion Of Social Security Benefits: Oasi Benefits For Retired Workers
Social Security,"Exclusion Of Social Security Benefits: Social Security Benefits For Spouses, Dependents And Survivors",1997,,3985000000.0,3985000000.0,8483200000000.001,0.71001276673354,,5612575135,5612575135,,0.05,0.96,16.49,0.84,3.19,Exclusion Of Social Security Benefits: Benefits For Dependents And Survivors
Income Security,Exclusion Of Special Benefits For Disabled Coal Miners,1997,,90000000.0,90000000.0,8483200000000.001,0.71001276673354,,126758284,126758284,,0.00,0.02,0.11,0.02,-1.73, 
Veterans Benefits And Services,Exclusion Of Veterans Death Benefits And Disability Compensation,1997,,2770000000.0,2770000000.0,8483200000000.001,0.71001276673354,,3901338300,3901338300,,0.03,0.67,94.22,0.58,4.09,Exclusion Of Veterans Disability Compensation
Veterans Benefits And Services,Exclusion Of Veterans Pensions,1997,,70000000.0,70000000.0,8483200000000.001,0.71001276673354,,98589777,98589777,,0.00,0.02,2.38,0.01,-1.73, 
Income Security,Exclusion Of Workers' Compensation Benefits,1997,,4970000000.0,4970000000.0,8483200000000.001,0.71001276673354,,6999874133,6999874133,,0.06,1.19,5.86,1.05,4.02,Exclusion Of Workmen'S Compensation Benefits.........
Community And Regional Development,Exemption Of Certain Mutuals' And Cooperatives' Income,1997,60000000.0,,60000000.0,8483200000000.001,0.71001276673354,84505523,,84505523,0.10,0.00,,2.22,0.01,-1.73, 
Commerce And Housing,Exemption Of Credit Union Income,1997,700000000.0,,700000000.0,8483200000000.001,0.71001276673354,985897765,,985897765,1.20,0.01,,0.32,0.15,4.22, 
Agriculture,Expensing Of Certain Capital Outlays,1997,10000000.0,55000000.0,65000000.0,8483200000000.001,0.71001276673354,14084254,77463396,91547650,0.02,0.00,0.01,20.00,0.01,-1.73, 
Agriculture,Expensing Of Certain Multiperiod Production Costs,1997,10000000.0,70000000.0,80000000.0,8483200000000.001,0.71001276673354,14084254,98589777,112674030,0.02,0.00,0.02,24.62,0.02,-1.73, 
Commerce And Housing,Expensing Of Certain Small Investments,1997,655000000.0,410000000.0,1065000000.0,8483200000000.001,0.71001276673354,922518623,577454405,1499973029,1.12,0.01,0.10,0.49,0.22,-27.32, 
"Education, Training, Employment, And Social Services",Expensing Of Costs Of Removing Certain Architectural Barriers To The Handicapped,1997,15000000.0,5000000.0,20000000.0,8483200000000.001,0.71001276673354,21126381,7042127,28168508,0.03,0.00,0.00,0.07,0.00,-1.73, 
Energy,"Expensing Of Exploration And Development Costs, Fuels",1997,-95000000.0,-35000000.0,-130000000.0,8483200000000.001,0.71001276673354,-133800411,-49294888,-183095299,-0.16,-0.00,-0.01,-5.76,-0.03,-39.17, 
Natural Resources And Environment,"Expensing Of Exploration And Development Costs, Nonfuel Minerals",1997,25000000.0,10000000.0,35000000.0,8483200000000.001,0.71001276673354,35210634,14084254,49294888,0.04,0.00,0.00,2.10,0.01,-1.73, 
Natural Resources And Environment,Expensing Of Multiperiod Timber Growing Costs,1997,235000000.0,180000000.0,415000000.0,8483200000000.001,0.71001276673354,330979964,253516568,584496532,0.40,0.00,0.04,24.85,0.09,3.24, 
"General Science, Space, And Technology",Expensing Of Research And Experimentation Expenditures,1997,190000000.0,5000000.0,195000000.0,8483200000000.001,0.71001276673354,267600822,7042127,274642949,0.33,0.00,0.00,22.16,0.04,379.05, 
Commerce And Housing,Graduated Corporation Income Tax Rate,1997,4695000000.0,,4695000000.0,8483200000000.001,0.71001276673354,6612557154,,6612557154,8.05,0.06,,2.15,0.99,4.03, 
Income Security,Income Of Trusts To Finance Supplementary Unemployment Benefits,1997,,20000000.0,20000000.0,8483200000000.001,0.71001276673354,,28168508,28168508,,0.00,0.00,0.02,0.00,-1.73, 
International Affairs,Inventory Property Sales Source Rules Exception,1997,1500000000.0,,1500000000.0,8483200000000.001,0.71001276673354,2112638068,,2112638068,2.57,0.02,,21.49,0.32,5.29, 
Natural Resources And Environment,Investment Credit And Seven-Year Amortization For Reforestation Expenditures,1997,20000000.0,30000000.0,50000000.0,8483200000000.001,0.71001276673354,28168508,42252761,70421269,0.03,0.00,0.01,2.99,0.01,9.18, 
Community And Regional Development,Investment Credit For Rehabilitation Of Structures (Other Than Historic),1997,15000000.0,65000000.0,80000000.0,8483200000000.001,0.71001276673354,21126381,91547650,112674030,0.03,0.00,0.02,2.96,0.02,-1.73, 
Health,Medical Savings Accounts / Health Savings Accounts,1997,,10000000.0,10000000.0,8483200000000.001,0.71001276673354,,14084254,14084254,,0.00,0.00,0.01,0.00,,Medical Savings Accounts
Income Security,Net Exclusion Of Pension Contributions And Earnings: Employer Plans,1997,,55810000000.0,55810000000.0,8483200000000.001,0.71001276673354,,78604220396,78604220396,,0.66,13.40,65.84,11.76,-1.02, 
Income Security,Net Exclusion Of Pension Contributions And Earnings: Individual Retirement Accounts,1997,,8345000000.0,8345000000.0,8483200000000.001,0.71001276673354,,11753309787,11753309787,,0.10,2.00,9.84,1.76,2.18, 
Income Security,Net Exclusion Of Pension Contributions And Earnings: Keogh Plans,1997,,3200000000.0,3200000000.0,8483200000000.001,0.71001276673354,,4506961212,4506961212,,0.04,0.77,3.78,0.67,3.78, 
Energy,New Technology Credit,1997,35000000.0,,35000000.0,8483200000000.001,0.71001276673354,49294888,,49294888,0.06,0.00,,1.55,0.01,14.64, 
Commerce And Housing,Ordinary Income Treatment Of Loss From Small Business Corporation Stock Sale,1997,,35000000.0,35000000.0,8483200000000.001,0.71001276673354,,49294888,49294888,,0.00,0.01,0.02,0.01,-1.73, 
"Education, Training, Employment, And Social Services",Parental Personal Exemption For Students Age 19 Or Over,1997,,845000000.0,845000000.0,8483200000000.001,0.71001276673354,,1190119445,1190119445,,0.01,0.20,3.13,0.18,1.26, 
Commerce And Housing,Small Life Insurance Company Deduction,1997,115000000.0,,115000000.0,8483200000000.001,0.71001276673354,161968919,,161968919,0.20,0.00,,0.05,0.02,2.73, 
Commerce And Housing,Special Alternative Tax On Small Property And Casualty Insurance Companies,1997,5000000.0,,5000000.0,8483200000000.001,0.71001276673354,7042127,,7042127,0.01,0.00,,0.00,0.00,-1.73, 
Health,Special Blue Cross/Blue Shield Deduction,1997,135000000.0,,135000000.0,8483200000000.001,0.71001276673354,190137426,,190137426,0.23,0.00,,0.17,0.03,10.55, 
Income Security,Special Esop Rules,1997,675000000.0,60000000.0,735000000.0,8483200000000.001,0.71001276673354,950687131,84505523,1035192653,1.16,0.01,0.01,0.87,0.15,-20.19, 
Natural Resources And Environment,Special Rules For Mining Reclamation Reserves,1997,45000000.0,5000000.0,50000000.0,8483200000000.001,0.71001276673354,63379142,7042127,70421269,0.08,0.00,0.00,2.99,0.01,-1.73, 
Commerce And Housing,Step-Up Basis Of Capital Gains At Death,1997,,30715000000.0,30715000000.0,8483200000000.001,0.71001276673354,,43259785512,43259785512,,0.36,7.38,14.05,6.47,2.21, 
General Purpose Fiscal Assistance,Tax Credit For Corporations Receiving Income From Doing Business In United States Possessions,1997,2700000000.0,,2700000000.0,8483200000000.001,0.71001276673354,3802748523,,3802748523,4.63,0.03,,14.59,0.57,-3.87, 
Health,Tax Credit For Orphan Drug Research,1997,20000000.0,,20000000.0,8483200000000.001,0.71001276673354,28168508,,28168508,0.03,0.00,,0.03,0.00,293.06, 
Income Security,Tax Credit For The Elderly And Disabled,1997,,50000000.0,50000000.0,8483200000000.001,0.71001276673354,,70421269,70421269,,0.00,0.01,0.06,0.01,9.18, 
Energy,Tax Credits For Clean-Fuel Burning Vehicles,1997,55000000.0,10000000.0,65000000.0,8483200000000.001,0.71001276673354,77463396,14084254,91547650,0.09,0.00,0.00,2.88,0.01,-1.73,Tax Credit And Deduction For Clean-Fuel Burning Vehicles And Properties
Commerce And Housing,Tax Exemption Of Certain Insurance Companies Owned By Tax-Exempt Organizations,1997,245000000.0,,245000000.0,8483200000000.001,0.71001276673354,345064218,,345064218,0.42,0.00,,0.11,0.05,0.31,Tax Exemption Of Certain Insurance Companies
Natural Resources And Environment,Tax Incentives For Preservation Of Historic Structures,1997,25000000.0,95000000.0,120000000.0,8483200000000.001,0.71001276673354,35210634,133800411,169011045,0.04,0.00,0.02,7.19,0.03,-5.66, 
Commerce And Housing,Treatment Of Alaska Native Corporations,1997,15000000.0,,15000000.0,8483200000000.001,0.71001276673354,21126381,,21126381,0.03,0.00,,0.01,0.00,-26.30, 
Agriculture,Treatment Of Loans Forgiven For Solvent Farmers,1997,,10000000.0,10000000.0,8483200000000.001,0.71001276673354,,14084254,14084254,,0.00,0.00,3.08,0.00,-1.73, 
"Education, Training, Employment, And Social Services",Work Opportunity Tax Credit,1997,100000000.0,20000000.0,120000000.0,8483200000000.001,0.71001276673354,140842538,28168508,169011045,0.17,0.00,0.00,0.44,0.03,, 
Commerce And Housing,Accelerated Depreciation Of Buildings Other Than Rental Housing,1998,4635000000.0,1635000000.0,6270000000.0,8954800000000.0,0.7187670983038482,6448542248,2274728495,8723270743,6.98,0.07,0.34,2.49,1.13,6.79, 
Commerce And Housing,Accelerated Depreciation Of Machinery And Equipment,1998,22025000000.0,6860000000.0,28885000000.0,8954800000000.0,0.7187670983038482,30642749302,9544120782,40186870084,33.18,0.32,1.41,11.46,5.22,4.59, 
Commerce And Housing,Accelerated Depreciation On Rental Housing,1998,1650000000.0,755000000.0,2405000000.0,8954800000000.0,0.7187670983038482,2295597564,1050409794,3346007359,2.49,0.03,0.16,0.95,0.43,75.98, 
Income Security,Additional Deduction For The Blind,1998,,30000000.0,30000000.0,8954800000000.0,0.7187670983038482,,41738138,41738138,,0.00,0.01,0.03,0.01,18.54, 
Income Security,Additional Deduction For The Elderly,1998,,1690000000.0,1690000000.0,8954800000000.0,0.7187670983038482,,2351248414,2351248414,,0.02,0.35,1.48,0.31,12.42, 
"Education, Training, Employment, And Social Services",Adoption Credit And Exclusion,1998,,125000000.0,125000000.0,8954800000000.0,0.7187670983038482,,173908906,173908906,,0.00,0.03,0.37,0.02,1134.78,Adoption Assistance
Energy,Alcohol Fuel Credits,1998,10000000.0,5000000.0,15000000.0,8954800000000.0,0.7187670983038482,13912713,6956356,20869069,0.02,0.00,0.00,0.98,0.00,48.17, 
Energy,Alternative Fuel Production Credit,1998,815000000.0,45000000.0,860000000.0,8954800000000.0,0.7187670983038482,1133886070,62607206,1196493276,1.23,0.01,0.01,56.03,0.16,41.59, 
Commerce And Housing,Amortization Of Start-Up Costs,1998,120000000.0,85000000.0,205000000.0,8954800000000.0,0.7187670983038482,166952550,118258056,285210606,0.18,0.00,0.02,0.08,0.04,1.25, 
Commerce And Housing,Cancellation Of Indebtedness,1998,,50000000.0,50000000.0,8954800000000.0,0.7187670983038482,,69563563,69563563,,0.00,0.01,0.02,0.01,23.48, 
Commerce And Housing,"Capital Gains (Except Agriculture, Timber, Iron Ore, And Coal)",1998,,38275000000.0,38275000000.0,8954800000000.0,0.7187670983038482,,53250907130,53250907130,,0.43,7.86,15.18,6.92,359.40, 
Commerce And Housing,Capital Gains Exclusion Of Small Corporation Stock,1998,,0.0,0.0,8954800000000.0,0.7187670983038482,,0,0,,0.00,0.00,0.00,0.00,, 
Commerce And Housing,Capital Gains Exclusion On Home Sales,1998,,17475000000.0,17475000000.0,8954800000000.0,0.7187670983038482,,24312465110,24312465110,,0.20,3.59,6.93,3.16,, 
Agriculture,Capital Gains Treatment Of Certain Income,1998,,605000000.0,605000000.0,8954800000000.0,0.7187670983038482,,841719107,841719107,,0.01,0.12,77.56,0.11,251.55, 
Natural Resources And Environment,Capital Gains Treatment Of Certain Timber Income,1998,,60000000.0,60000000.0,8954800000000.0,0.7187670983038482,,83476275,83476275,,0.00,0.01,4.11,0.01,295.13, 
Energy,Capital Gains Treatment Of Royalties On Coal,1998,,60000000.0,60000000.0,8954800000000.0,0.7187670983038482,,83476275,83476275,,0.00,0.01,3.91,0.01,295.13, 
Commerce And Housing,Carryover Basis Of Capital Gains On Gifts,1998,,170000000.0,170000000.0,8954800000000.0,0.7187670983038482,,236516113,236516113,,0.00,0.03,0.07,0.03,11.95, 
